Domain,Name of Exam,University,Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
SCIENCE,NEST 2018,National Entrance Screening Test ,Written Test,07 Jan 18 - 05 Mar 18,20-May-18,16-Jun-18,https://exams.collegedunia.com/nest/application-process
SCIENCE,KCET 2018,Karnataka Common Entrance Test ,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25-May-18,https://exams.collegedunia.com/kcet/application-process
SCIENCE,IIT JAM 2018,Indian Institute Of Technology Joint Admission Test for M.Sc. ,Online Test,10 Jan 18 - 05 Sep 17,11-Feb-18,20-Mar-18,https://exams.collegedunia.com/iit-jam/admit-card
SCIENCE,BITSAT 2018,Birla Institute of Technology and Science Admission Test ,Online Test,14 Jan 18 - 03 Mar 18,20-May-18,12-Jun-18,
SCIENCE,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
SCIENCE,NPAT 2018,National Test for Programs After Twelfth ,Online Test,05 Feb 18 - 02 May 18,13-May-18,10-Jun-18,
SCIENCE,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
SCIENCE,AIFD WAT 2018,Army Institute of Fashion & Design Written Admission Test 2018 ,Written Test,22 Feb 18 - 16 Apr 18,13-May-18,21-May-18,
SCIENCE,YVUCET 2018,Yogi Vemana University Common Entrance Test ,Written Test,01 Mar 18 - 19 May 18,04-Jun-18,11-Jun-18,
SCIENCE,FRI MSc 2018,Forest Research Institute M.Sc. 2018 ,Written Test,05 Mar 18 - 09 Apr 18,13-May-18,,
SCIENCE,TUEE 2018,Tezpur University Entrance Exam 2018 ,Written Test,12 Mar 18 - 05 May 18,22-Apr-18,11-Jun-18,
SCIENCE,AKNUCET 2018,Adikavi Nannaya University Common Entrance Test ,Written Test,12 Mar 18 - 12 Apr 18,07-May-18,,
SCIENCE,CG PAT 2018,Chhattisgarh Pre-Agriculture Test ,Written Test,12 Mar 18 - 12 Apr 18,27-May-18,07-Jul-18,
SCIENCE,TS EAMCET 2018,Telangana State Engineering  Agriculture & Medical Common Entrance Test ,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28-May-18,
SCIENCE,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
SCIENCE,DAVUET 2018,DAV University Entrance Test ,Written Test,23 Mar 18 - 15 Apr 18,22-Apr-18,12-May-18,
SCIENCE,CMRUAT 2018,CMR University Admission Test 2018 ,Online Test,23 Mar 18 - 27 May 18,07 Apr 18 - 17 Jun 18,,
SCIENCE,Tripura JEE 2018,Tripura Joint Entrance Examination ,Written Test,27 Mar 18 - 02 Jan 18,03 May 18 - 04 May 18,04-Jun-18,
SCIENCE,JCECE 2018,Jharkhand Combined Entrance Competitive Examination ,Written Test,03 Apr 18 - 30 Apr 18,14-May-18,29-May-18,https://exams.collegedunia.com/jcece/application-process
SCIENCE,DUCET 2018,Dravidian University Common Entrance Test 2018 ,Written Test,03 Apr 18 - 15 May 18,05-Jun-18,18-Jun-18,
SCIENCE,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
SCIENCE,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
SCIENCE,JEE Advanced 2018,Joint Entrance Examination (Advanced) ,Written Test,28 Apr 18 - 02 May 18,20-May-18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
SCIENCE,KLEU AIET 2018,KLE University All India Entrance Test ,Written Test,10 May 18 - 07 Jun 18,16-Jun-18,27-Jun-18,
SCIENCE,PU CET 2018,Punjab University Combined Entrance Test ,Online Test,25 May 18 - 04 Jul 17,03-Jun-18,16-Jun-18,
SCIENCE,IISER 2018,Indian Institute of Science Education and Research ,Written Test,25 Jun 18 - 23 May 18,07-Jul-18,16-Jul-18,
SCIENCE,Jain Entrance Test 2018,Jain Entrance Test ,Test,20-Jan-18,,,
SCIENCE,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
SCIENCE,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
SCIENCE,AUCET 2018,Andhra University Common Entrance Test ,Written Test,08-May-18,18-May-18,,
SCIENCE,JNUEE 2018,Jawaharlal Nehru University Entrance Examination ,Written Test,14-May-18,18-Jun-18,,
SCIENCE,KU PGCET 2018,KU Post Graduate Common Entrance Test 2018 ,Written Test,04-Jun-18,,,
SCIENCE,GSAT 2018,GITAM Science Admission Test ,Written Test,,,,
SCIENCE,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
SCIENCE,IUET 2018,Integral University Entrance Test ,Written Test,,,,
SCIENCE,SLIET SET 2018,Sant Longowal Institute of Engineering and Technology Entrance Exam ,Online Test  Written Test,,,,
SCIENCE,IEMJEE 2018,Institute of Engineering & Management Joint Entrance Exam ,Online Test,,,,
SCIENCE,BHU UET 2018,Banaras Hindu University Undergraduate Entrance Test ,Written Test,,,,
SCIENCE,AUAT 2018,Aliah University Admission Test ,Written Test,,,,
SCIENCE,NCHMCT JEE 2017,National Council for Hotel Management and Catering Technology Joint Entrance Examination ,Written Test,19 Dec 16 - 12 Dec 16,29-Apr-17,18-May-17,
SCIENCE,MCAER PG CET 2018,Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018 ,Written Test,04 Dec 17 - 28 Dec 17,25-Mar-18,09-Apr-18,
SCIENCE,MAT 2017,Management Aptitude Test ,Online Test  Written Test,20 Dec 17 - 26 Jan 18,04-Feb-18,22-Feb-18,https://exams.collegedunia.com/mat/application-process
SCIENCE,TISSNET 2018,Tata Institute of Social Sciences National Entrance Test ,Online Test,24 Oct 17 - 18 Dec 17,06-Jan-18,27-Jan-18,https://exams.collegedunia.com/tissnet/admit-card
SCIENCE,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
SCIENCE,ISI Admission Test 2017,Indian Statistical Institute Admission Test ,Online Test,09 Feb 17 - 04 Apr 17,08-May-17,10-Jun-17,https://exams.collegedunia.com/isi-admission-test/admit-card
SCIENCE,MGU CAT 2018,Mahatma Gandhi University - Common Admission Test ,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08-Jun-17,
SCIENCE,BHU PET 2018,Banaras Hindu University Postgraduate Entrance Test ,Written Test,,,,
SCIENCE,Allahabad University PGAT 2018,Allahabad University Post Graduate Admission Test ,Online Test,,,,
SCIENCE,UPCATET 2018,Uttar Pradesh Combined Agriculture and Technology Entrance Test ,Online Test,,,,
SCIENCE,JNU CEEB 2018,Jawaharlal Nehru University Combined Entrance Examination for Biotechnology ,Test,,,,
SCIENCE,IMU CET 2017,Indian Maritime University Common Entrance Test ,Online Test,,,,
SCIENCE,CUSAT CAT 2018,Cochin University of Science and Technology Common Admission test ,Online Test,,,,
SCIENCE,AIIMS MSc 2018,AIIMS M.Sc. Entrance Examination ,Online Test,,,,
SCIENCE,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
SCIENCE,RTU CAM 2018,Rajasthan Technical University Centralized Admission for M.Tech/M.Arch. ,Online Test,,,,
SCIENCE,ANUPGCET 2018,ACHARYA NAGARJUNA UNIVERSITY POST GRADUATE COMMON ENTRANCE TEST ,Online Test,,,,
SCIENCE,PUCAT 2018,Purvanchal University Combined Admission Test ,Written Test,,,,
SCIENCE,OUCET 2018,Osmania University Common Entrance Test ,Written Test,,,,
SCIENCE,HCEE 2017,Haryana Centralized Entrance Exam ,Online Test,22 Jun 17 - 25 Jun 17,23-Jun-17,,
SCIENCE,KVPY 2017,Kishore Vaigyanik Protsahan Yojana ,Online Test  Written Test,05-Nov-17,18-Dec-17,,
COMPUTER-APPLICATIONS,ATMA 2018,AIMS Test for Management Admissions ,Online Test,09 Jan 18 - 08 Mar 18,11-Mar-18,29-Mar-18,https://exams.collegedunia.com/atma/admit-card
COMPUTER-APPLICATIONS,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
COMPUTER-APPLICATIONS,TANCET 2018,Tamil Nadu Common Entrance Test ,Written Test,28 Jan 18 - 15 Mar 18,25-Mar-18,07-Apr-18,https://exams.collegedunia.com/tancet/admit-card
COMPUTER-APPLICATIONS,MAH MCA CET 2018,Maharashtra MCA Common Entrance Test ,Online Test,03 Feb 18 - 28 Feb 18,18-Mar-18,29-Mar-18,https://exams.collegedunia.com/mah-mca-cet/application-process
COMPUTER-APPLICATIONS,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
COMPUTER-APPLICATIONS,BIT MCA 2018,Birla Institute of Technology MCA Entrance Exam ,Online Test,25 Feb 18 - 25 Apr 18,26-May-18,10-Jun-18,
COMPUTER-APPLICATIONS,YVUCET 2018,Yogi Vemana University Common Entrance Test ,Written Test,01 Mar 18 - 19 May 18,04-Jun-18,11-Jun-18,
COMPUTER-APPLICATIONS,BVP CET 2018,Bharati Vidyapeeth Common Entrance Test ,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09-Apr-18,https://exams.collegedunia.com/bvp-cet/application-process
COMPUTER-APPLICATIONS,KMAT 2018,Karnataka Management Aptitude Test ,Written Test,02 Apr 18 - 20 Apr 18,26-May-18,12-Jun-18,
COMPUTER-APPLICATIONS,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
COMPUTER-APPLICATIONS,SPSAT 2018,Sri Padampat Singhania Admission Test ,Online Test,20 Apr 18 - 10 Jun 18,,,
COMPUTER-APPLICATIONS,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
COMPUTER-APPLICATIONS,APICET 2018,Andhra Pradesh Integrated Common Entrance Test ,Written Test,28 Apr 18 - 01 Mar 18,02-May-18,10-May-18,
COMPUTER-APPLICATIONS,TSICET 2018,Telangana State Integrated Common Entrance Test ,Written Test,30 Apr 18 - 09 Mar 18,06-May-18,25 May 18 - 16 May 18,https://exams.collegedunia.com/tsicet/admit-card
COMPUTER-APPLICATIONS,CG PRE MCA 2017,Chhattisgarh Pre MCA ,Online Test,22 May 18 - 10 Jun 18,26-Jun-18,,
COMPUTER-APPLICATIONS,BUMAT 2018,BHARATI VIDYAPEETH UNDERGRADUATE MANAGEMENT APTITUDE TEST ,Written Test,24 May 18 - 22 Feb 18,03-Jun-18,14-Jun-18,https://exams.collegedunia.com/bumat/admit-card
COMPUTER-APPLICATIONS,Jain Entrance Test 2018,Jain Entrance Test ,Test,20-Jan-18,,,
COMPUTER-APPLICATIONS,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
COMPUTER-APPLICATIONS,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
COMPUTER-APPLICATIONS,VEE 2018,Vels Entrance Examination 2018 ,Written Test,03-May-18,,,
COMPUTER-APPLICATIONS,JNUEE 2018,Jawaharlal Nehru University Entrance Examination ,Written Test,14-May-18,18-Jun-18,,
COMPUTER-APPLICATIONS,PESSAT 2018,PES Scholastic Aptitude Test ,Online Test  Written Test,26-May-18,29-May-18,,
COMPUTER-APPLICATIONS,WB JECA 2018,West Bengal Joint Entrance Exam MCA ,Written Test,23-Jun-18,,,
COMPUTER-APPLICATIONS,CEE AMPAI 2018,Common Entrance Examination of Association of Minority Professional Academic Institution ,Written Test,30-Jul-18,07-Aug-18,,
COMPUTER-APPLICATIONS,RMCAAT 2017,Rajasthan Master of Computer Application Admission Test ,Online Test,01-Aug-18,,,
COMPUTER-APPLICATIONS,UKSEE 2018,Uttarakhand State Entrance Exam ,Online Test  Written Test,,,,
COMPUTER-APPLICATIONS,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
COMPUTER-APPLICATIONS,LPUNEST 2018,LPUNEST ,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07-May-17,
COMPUTER-APPLICATIONS,ITM NEST 2018,ITM National Entrance and Scholarship Test 2018 ,Online Test  Written Test,,,,
COMPUTER-APPLICATIONS,IUET 2018,Integral University Entrance Test ,Written Test,,,,
COMPUTER-APPLICATIONS,IEMJEE 2018,Institute of Engineering & Management Joint Entrance Exam ,Online Test,,,,
COMPUTER-APPLICATIONS,GLAET 2018,GLA University Entrance Test ,Online Test,,,,
COMPUTER-APPLICATIONS,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
COMPUTER-APPLICATIONS,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
COMPUTER-APPLICATIONS,CUSAT CAT 2018,Cochin University of Science and Technology Common Admission test ,Online Test,,,,
COMPUTER-APPLICATIONS,Karnataka PGCET 2017,Karnataka Post Graduate Common Entrance Test ,Online Test,24 Jun 17 - 02 Feb 17,08-Jul-17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
COMPUTER-APPLICATIONS,Kerala MCA 2017,Kerala MCA ,Written Test,,,,
COMPUTER-APPLICATIONS,PUCAT 2018,Purvanchal University Combined Admission Test ,Written Test,,,,
COMPUTER-APPLICATIONS,NIMCET 2017,National Level Entrance Test for Admission to Master of Computer Applications ,Written Test,,,,
COMPUTER-APPLICATIONS,GSAT 2018,GITAM Science Admission Test ,Written Test,,,,
COMPUTER-APPLICATIONS,Dibrugarh University Entrance Exam 2017,Dibrugarh University Entrance Exam ,Written Test,,,,
COMPUTER-APPLICATIONS,RTU CAM 2018,Rajasthan Technical University Centralized Admission for M.Tech/M.Arch. ,Online Test,,,,
COMPUTER-APPLICATIONS,LEET 2018,Haryana Lateral Entry Entrance Test ,Online Test,26 Apr 17 - 24 May 17,30 May 17 - 02 Jun 17,07-Jun-17,https://exams.collegedunia.com/leet/application-process
PHARMACY,KEAM 2018,Kerala Engineering Agricultural Medical Entrance Examination ,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26-May-18,
PHARMACY,KCET 2018,Karnataka Common Entrance Test ,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25-May-18,https://exams.collegedunia.com/kcet/application-process
PHARMACY,UBTER JEEP 2018,Uttarakhand Board Of Technical Education-Joint Entrance Exam  Polytechnic ,Written Test,10 Jan 18 - 26 Mar 18,06-May-18,27-May-18,
PHARMACY,BITSAT 2018,Birla Institute of Technology and Science Admission Test ,Online Test,14 Jan 18 - 03 Mar 18,20-May-18,12-Jun-18,
PHARMACY,AP EAMCET 2018,Andhra Pradesh Engineering  Agriculture and Medical Common Entrance Test ,Online Test,05 Feb 18 - 10 Apr 18,28-Apr-18,24-May-18,https://exams.collegedunia.com/ap-eamcet/application-process
PHARMACY,UPSEE 2018,Uttar Pradesh State Entrance Exam ,Online Test  Written Test,21 Feb 18 - 10 Apr 18,22-Apr-18,12-May-18,
PHARMACY,MHT CET 2018,Maharashtra Health Sciences and Technical Common Entrance Test ,Written Test,06 Mar 18 - 30 Mar 18,13-May-18,08-Jun-18,https://exams.collegedunia.com/mht-cet/application-process
PHARMACY,TS EAMCET 2018,Telangana State Engineering  Agriculture & Medical Common Entrance Test ,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28-May-18,
PHARMACY,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
PHARMACY,BVP CET 2018,Bharati Vidyapeeth Common Entrance Test ,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09-Apr-18,https://exams.collegedunia.com/bvp-cet/application-process
PHARMACY,TS PGECET 2017,Telangana State Post Graduate Engineering Common Entrance Test ,Online Test,20 Mar 18 - 01 May 18,27-May-18,09-Jun-18,
PHARMACY,OJEE 2017,Odisha Joint Entrance Examination ,Online Test,16 Apr 18 - 03 Feb 18,13-May-18,07-Jun-18,https://exams.collegedunia.com/ojee/application-process
PHARMACY,GCET 2018,Goa Common Entrance Test ,Written Test,19 Apr 18 - 10 Mar 18,13-May-18,30-May-18,
PHARMACY,NIPER JEE 2018,National Institute of Pharmaceutical Education and Research Joint Entrance Exam ,Online Test,27 Apr 18 - 10 May 18,10-Jun-18,,
PHARMACY,JEE Advanced 2018,Joint Entrance Examination (Advanced) ,Written Test,28 Apr 18 - 02 May 18,20-May-18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
PHARMACY,AU AIMEE Pharmacy 2017,Annamalai University All India Medical Entrance Exam Pharmacy ,Written Test,02 May 18 - 02 Jun 18,10-Jun-18,05-Jul-18,https://exams.collegedunia.com/au-aimee-pharmacy/application-process
PHARMACY,MH CET 2018,Maharashtra Common Entrance Test ,Online Test,10 May 18 - 23 May 18,18-Jun-18,,
PHARMACY,KLEU AIET 2018,KLE University All India Entrance Test ,Written Test,10 May 18 - 07 Jun 18,16-Jun-18,27-Jun-18,
PHARMACY,AP PGECET 2017,Andhra Pradesh Post Graduate Engineering Common Entrance Test ,Online Test,20 May 18 - 03 Mar 18,27-May-18,15-Jun-18,https://exams.collegedunia.com/ap-pgecet/application-process
PHARMACY,PU CET 2018,Punjab University Combined Entrance Test ,Online Test,25 May 18 - 04 Jul 17,03-Jun-18,16-Jun-18,
PHARMACY,WBUT PGET 2018,West Bengal University of Technology Post Graduate Entrance Test ,Written Test,15 Jun 18 - 29 Jun 18,20-Jul-18,,
PHARMACY,DSAT 2018,Dayanand Sagar Admission Test 2018 ,Written Test,30-Apr-18,15-May-18,,
PHARMACY,VEE 2018,Vels Entrance Examination 2018 ,Written Test,03-May-18,,,
PHARMACY,CEE AMPAI 2018,Common Entrance Examination of Association of Minority Professional Academic Institution ,Written Test,30-Jul-18,07-Aug-18,,
PHARMACY,CG PPHT 2018,Chhattisgarh Pre Pharmacy Test ,Written Test,,,,
PHARMACY,GITAM GAT PGP 2017,GITAM Admission Test Post Graduate Pharmacy ,Online Test,25 Nov 17 - 09 Apr 18,16 Apr 18 - 30 Apr 18,05-May-18,
PHARMACY,UKSEE 2018,Uttarakhand State Entrance Exam ,Online Test  Written Test,,,,
PHARMACY,SAAT 2018,Siksha ‘O’ Anusandhan University Admission Test ,Online Test,,,,
PHARMACY,RPET Pharmacy 2017,Rajasthan Pre-Engineering Test Pharmacy ,Written Test,,,,
PHARMACY,GPAT 2018,Graduate Pharmacy Aptitude Test ,Online Test,20 Oct 17 - 15 Dec 17,20-Jan-18,08-Feb-18,https://exams.collegedunia.com/gpat/application-process
PHARMACY,AP ECET 2018,Andhra Pradesh Engineering Common Entrance Test ,Online Test,,,,
PHARMACY,BITS HD 2018,BITS HD Admission Test ,Written Test,,,,
PHARMACY,PUCAT 2018,Purvanchal University Combined Admission Test ,Written Test,,,,
PHARMACY,GITAM GAT UGTP 2018,GITAM GAT UGTP ,Online Test,,,,
PHARMACY,CENTAC 2018,Central Admission Committee ,Test,,,,
PHARMACY,ITM NEST 2018,ITM National Entrance and Scholarship Test 2018 ,Online Test  Written Test,,,,
PHARMACY,IUET 2018,Integral University Entrance Test ,Written Test,,,,
PHARMACY,WBJEE 2018,West Bengal Joint Entrance Examination ,Online Test,19 Dec 17 - 10 Apr 18,22-Apr-18,05-Jun-18,https://exams.collegedunia.com/wbjee/admit-card
PHARMACY,GUJCET 2018,Gujarat Common Entrance Test ,Written Test,29-May-17,29-May-18,,
PHARMACY,HCEE 2017,Haryana Centralized Entrance Exam ,Online Test,22 Jun 17 - 25 Jun 17,23-Jun-17,,
LAW,CLAT 2018,Common Law Admission Test ,Online Test,01 Jan 18 - 31 Mar 18,14-May-18,29 May 18 - 16 May 18,https://exams.collegedunia.com/clat/application-process
LAW,AILET 2018,All India Law Entrance Test ,Written Test,03 Jan 18 - 15 Apr 18,06-May-18,23-May-18,https://exams.collegedunia.com/ailet/application-process
LAW,IPU CET 2018,Guru Gobind Singh Indraprastha University Common Entrance Test ,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03-May-18,https://exams.collegedunia.com/ipucet/application-process
LAW,AP PGLCET 2018,Andhra Pradesh Post Graduate Law Common Entrance Test 2018 ,Online Test,18 Feb 18 - 14 Apr 18,19-Apr-18,09-May-18,
LAW,AP LAWCET 2018,Andhra Pradesh Common Law Entrance Test ,Written Test,25 Feb 18 - 20 Mar 18,15-Apr-18,,
LAW,PU LLB 2018,Panjab University Law Entrance Exam ,Online Test,06 Mar 18 - 11 Jun 18,25-Jun-18,04-Jul-18,
LAW,CUCET 2018,Central Universities Common Entrance Test ,Written Test,17 Mar 18 - 20 Apr 18,20-May-18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
LAW,BVP CET 2018,Bharati Vidyapeeth Common Entrance Test ,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09-Apr-18,https://exams.collegedunia.com/bvp-cet/application-process
LAW,MH CET LAW 2018,MAHARASHTRA COMMON ENTRANCE TEST LAW ,Online Test,19 Mar 18 - 24 Apr 18,20-May-18,30-May-18,
LAW,Allahabad University LAT 2018,Allahabad University Law Admission Test ,Written Test,05 Apr 18 - 05 May 18,07-Jul-18,,
LAW,RULET 2018,Rajasthan University Law Entrance Test ,Written Test,06 Apr 18 - 14 May 18,20-May-18,11-Jun-18,
LAW,LFAT 2018,Law Faculty Entrance Test ,Written Test,16 Apr 18 - 08 May 18,24-May-18,20-Jun-18,
LAW,AMU BA LLB 2018,Aligarh Muslim University Law Entrance Examination ,Written Test,20 Apr 18 - 15 Jan 18,08-May-18,12-Jul-18,
LAW,BLAT 2017,Banaras Law Entrance Test ,Written Test,22 Apr 18 - 05 Feb 18,20-May-18,06-Jun-18,
LAW,TS LAWCET 2018,Telangana State Law Common Entrance Test ,Written Test,23 Apr 18 - 15 Mar 18,27-May-18,09-Jun-18,
LAW,SET 2017,Symbiosis Entrance Test ,Online Test,27 Apr 18 - 05 Feb 18,06-May-18,20-May-18,
LAW,ILICAT 2018,Indian Law Institute Common Admission Test ,Written Test,07 May 18 - 27 May 18,12-Jun-18,,
LAW,DU LLB 2018,DU LLB Entrance Exam ,Written Test,08 Jun 18 - 05 Apr 18,16 Jun 18 - 17 Jun 18,07-Jul-18,https://exams.collegedunia.com/du-llb/application-process
LAW,JUEE 2018,Jagannath University Entrance Exam ,Online Test  Written Test,23 Apr 18 - 17 Jun 18,,,
LAW,VEE 2018,Vels Entrance Examination 2018 ,Written Test,03-May-18,,,
LAW,AUCET 2018,Andhra University Common Entrance Test ,Written Test,08-May-18,18-May-18,,
LAW,PESSAT 2018,PES Scholastic Aptitude Test ,Online Test  Written Test,26-May-18,29-May-18,,
LAW,ACLAT 2018,Alliance University Common Law Admission Test ,Written Test,28-May-18,05-Jun-18,,
LAW,KIITEE 2017,Kalinga Institute of Industrial Technology Entrance Exam ,Online Test,,,,
LAW,JMI BA LLB 2018,Jamia Millia Islamia BA LLB ,Written Test,,,,
LAW,CUSAT CAT 2018,Cochin University of Science and Technology Common Admission test ,Online Test,,,,
LAW,MGU CAT 2018,Mahatma Gandhi University - Common Admission Test ,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08-Jun-17,
LAW,LSAT India 2018,Law School Admission Test-India ,Written Test,,,,
LAW,LSAT 2017,Law School Admission Test ,Written Test,14 Sep 16 - 08 May 17,21-May-17,20-Jun-17,https://exams.collegedunia.com/lsat/admit-card
LAW,MUCLET 2017,Mumbai University Common Law Entrance Test ,Written Test,,,,
LAW,KLEE 2017,Kerala Law Entrance Exam ,Written Test,,,,
LAW,LPUNEST 2018,LPUNEST ,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07-May-17,
LAW,AIBE 2018,All India Bar Examination (XI) ,Written Test,,,,
LAW,ITM NEST 2018,ITM National Entrance and Scholarship Test 2018 ,Online Test  Written Test,,,,
LAW,ULSAT 2018,UPES Legal Studies Aptitude Test ,Online Test,,,,
LAW,Dibrugarh University Entrance Exam 2017,Dibrugarh University Entrance Exam ,Written Test,,,,
LAW,TS PGLCET 2018,Telangana State Post Graduate Law Common Entrance Test ,Written Test,,,,
LAW,CAT 2017,Common Admission Test ,Online Test,09 Aug 17 - 20 Sep 17,26-Nov-17,08-Jan-18,https://exams.collegedunia.com/cat/application-process
LAW,JUET 2018,Jammu University Entrance Test ,Written Test,,,,
LAW,IUET 2018,Integral University Entrance Test ,Written Test,,,,
GOVERNMENT-EXAMS,DMRC 2018,Delhi Metro Rail Corporation Ltd. ,Online Test  Written Test,22 Jan 18 - 05 Nov 17,11-Feb-18,26-Feb-18,
GOVERNMENT-EXAMS,NDA 2017,National Defence Academy Exam ,Written Test,20 Feb 18 - 05 Jan 18,08-Apr-18,20-May-18,https://exams.collegedunia.com/nda/application-process
GOVERNMENT-EXAMS,SBI PO 2018,State Bank of India Probationary Officer ,Online Test,01 Mar 18 - 31 Mar 18,,,https://exams.collegedunia.com/sbi-po/application-process
GOVERNMENT-EXAMS,SBI Clerk 2018,State Bank Of India Clerk ,Online Test,03 Apr 18 - 02 May 18,21-May-18,,
GOVERNMENT-EXAMS,UPSC CAPF 2017,Central Armed Police Forces ,Written Test,04 Apr 18 - 21 May 18,15-Jul-18,10-Aug-18,https://exams.collegedunia.com/upsc-capf/application-process
GOVERNMENT-EXAMS,RBI Grade B 2018,RBI Grade B ,Test,02 May 18 - 23 May 18,08-Jun-18,13-Jun-18,
GOVERNMENT-EXAMS,DSSSB 2018,Delhi Subordinate Services Selection Board ,Online Test,26 Aug 18 - 26 Sep 18,11-Nov-18,13-Dec-18,
GOVERNMENT-EXAMS,SSC MTS 2017,Staff Selection Commission Multitasking Exam ,Written Test,19 Dec 18 - 05 Oct 18,13 Jan 19 - 12 May 19,15-Apr-19,https://exams.collegedunia.com/ssc-mts/admit-card
GOVERNMENT-EXAMS,RRB ALP 2017,RRB Assistant Loco Pilot ,Online Test,12-Apr-18,14-May-18,,
GOVERNMENT-EXAMS,TNTET 2018,Tamil Nadu Teachers Eligibility Test ,Test,20-Apr-18,,,
GOVERNMENT-EXAMS,SBI SO 2017,State Bank of India Specialist Officer ,Online Test,22 Aug 17 - 05 Sep 17,11-Nov-17,,
GOVERNMENT-EXAMS,UPTET 2017,UP Teacher Eligibility Test ,Written Test,26 Aug 17 - 08 Sep 17,15-Oct-17,08-Apr-18,
GOVERNMENT-EXAMS,CDS 2018,Combined Defence Services ,Written Test,09 Aug 17 - 08 Sep 17,19-Nov-17,07-Jan-18,
GOVERNMENT-EXAMS,IBPS RRB 2017,Institute of Banking Personnel Selection Rural Regional Bank exam ,Online Test,24 Jul 17 - 14 Aug 17,08-Oct-17,,
