ENGINEERING
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
PU CET 2018 Punjab University Combined Entrance Test,Online Test,25 May 18 - 04 Jul 17,03 Jun 18,16 Jun 18,
IISER 2018 Indian Institute of Science Education and Research,Written Test,25 Jun 18 - 23 May 18,07 Jul 18,16 Jul 18,
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
AUCET 2018 Andhra University Common Entrance Test,Written Test,08 May 18,18 May 18,,
JNUEE 2018 Jawaharlal Nehru University Entrance Examination,Written Test,14 May 18,18 Jun 18,,
KU PGCET 2018 KU Post Graduate Common Entrance Test 2018,Written Test,04 Jun 18,,,
GSAT 2018 GITAM Science Admission Test,Written Test,,,,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
SLIET SET 2018 Sant Longowal Institute of Engineering and Technology Entrance Exam,Online Test , Written Test,,,,
IEMJEE 2018 Institute of Engineering & Management Joint Entrance Exam,Online Test,,,,
BHU UET 2018 Banaras Hindu University Undergraduate Entrance Test,Written Test,,,,
AUAT 2018 Aliah University Admission Test,Written Test,,,,
NCHMCT JEE 2017 National Council for Hotel Management and Catering Technology Joint Entrance Examination,Written Test,19 Dec 16 - 12 Dec 16,29 Apr 17,18 May 17,
MCAER PG CET 2018 Maharashtra Council of Agriculture Education and Research Common Entrance Test 2018,Written Test,04 Dec 17 - 28 Dec 17,25 Mar 18,09 Apr 18,
MAT 2017 Management Aptitude Test,Online Test , Written Test,20 Dec 17 - 26 Jan 18,04 Feb 18,22 Feb 18,https://exams.collegedunia.com/mat/application-process
TISSNET 2018 Tata Institute of Social Sciences National Entrance Test,Online Test,24 Oct 17 - 18 Dec 17,06 Jan 18,27 Jan 18,https://exams.collegedunia.com/tissnet/admit-card
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
ISI Admission Test 2017 Indian Statistical Institute Admission Test,Online Test,09 Feb 17 - 04 Apr 17,08 May 17,10 Jun 17,https://exams.collegedunia.com/isi-admission-test/admit-card
MGU CAT 2018 Mahatma Gandhi University - Common Admission Test,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08 Jun 17,
BHU PET 2018 Banaras Hindu University Postgraduate Entrance Test,Written Test,,,,
Allahabad University PGAT 2018 Allahabad University Post Graduate Admission Test,Online Test,,,,
UPCATET 2018 Uttar Pradesh Combined Agriculture and Technology Entrance Test,Online Test,,,,
JNU CEEB 2018 Jawaharlal Nehru University Combined Entrance Examination for Biotechnology,Test,,,,
IMU CET 2017 Indian Maritime University Common Entrance Test,Online Test,,,,
CUSAT CAT 2018 Cochin University of Science and Technology Common Admission test,Online Test,,,,
AIIMS MSc 2018 AIIMS M.Sc. Entrance Examination,Online Test,,,,
JUET 2018 Jammu University Entrance Test,Written Test,,,,
RTU CAM 2018 Rajasthan Technical University Centralized Admission for M.Tech/M.Arch.,Online Test,,,,
ANUPGCET 2018 ACHARYA NAGARJUNA UNIVERSITY POST GRADUATE COMMON ENTRANCE TEST,Online Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
OUCET 2018 Osmania University Common Entrance Test,Written Test,,,,
HCEE 2017 Haryana Centralized Entrance Exam,Online Test,22 Jun 17 - 25 Jun 17,23 Jun 17,,
KVPY 2017 Kishore Vaigyanik Protsahan Yojana,Online Test , Written Test,05 Nov 17,18 Dec 17,,


COMPUTER-APPLICATIONS
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
ATMA 2018 AIMS Test for Management Admissions,Online Test,09 Jan 18 - 08 Mar 18,11 Mar 18,29 Mar 18,https://exams.collegedunia.com/atma/admit-card
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
TANCET 2018 Tamil Nadu Common Entrance Test,Written Test,28 Jan 18 - 15 Mar 18,25 Mar 18,07 Apr 18,https://exams.collegedunia.com/tancet/admit-card
MAH MCA CET 2018 Maharashtra MCA Common Entrance Test,Online Test,03 Feb 18 - 28 Feb 18,18 Mar 18,29 Mar 18,https://exams.collegedunia.com/mah-mca-cet/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
BIT MCA 2018 Birla Institute of Technology MCA Entrance Exam,Online Test,25 Feb 18 - 25 Apr 18,26 May 18,10 Jun 18,
YVUCET 2018 Yogi Vemana University Common Entrance Test,Written Test,01 Mar 18 - 19 May 18,04 Jun 18,11 Jun 18,
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
KMAT 2018 Karnataka Management Aptitude Test,Written Test,02 Apr 18 - 20 Apr 18,26 May 18,12 Jun 18,
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
SPSAT 2018 Sri Padampat Singhania Admission Test,Online Test,20 Apr 18 - 10 Jun 18,,,
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
APICET 2018 Andhra Pradesh Integrated Common Entrance Test,Written Test,28 Apr 18 - 01 Mar 18,02 May 18,10 May 18,
TSICET 2018 Telangana State Integrated Common Entrance Test,Written Test,30 Apr 18 - 09 Mar 18,06 May 18,25 May 18 - 16 May 18,https://exams.collegedunia.com/tsicet/admit-card
CG PRE MCA 2017 Chhattisgarh Pre MCA,Online Test,22 May 18 - 10 Jun 18,26 Jun 18,,
BUMAT 2018 BHARATI VIDYAPEETH UNDERGRADUATE MANAGEMENT APTITUDE TEST,Written Test,24 May 18 - 22 Feb 18,03 Jun 18,14 Jun 18,https://exams.collegedunia.com/bumat/admit-card
Jain Entrance Test 2018 Jain Entrance Test,Test,20 Jan 18,,,
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
VEE 2018 Vels Entrance Examination 2018,Written Test,03 May 18,,,
JNUEE 2018 Jawaharlal Nehru University Entrance Examination,Written Test,14 May 18,18 Jun 18,,
PESSAT 2018 PES Scholastic Aptitude Test,Online Test , Written Test,26 May 18,29 May 18,,
WB JECA 2018 West Bengal Joint Entrance Exam MCA,Written Test,23 Jun 18,,,
CEE AMPAI 2018 Common Entrance Examination of Association of Minority Professional Academic Institution,Written Test,30 Jul 18,07 Aug 18,,
RMCAAT 2017 Rajasthan Master of Computer Application Admission Test,Online Test,01 Aug 18,,,
UKSEE 2018 Uttarakhand State Entrance Exam,Online Test , Written Test,,,,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
LPUNEST 2018 LPUNEST,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07 May 17,
ITM NEST 2018 ITM National Entrance and Scholarship Test 2018,Online Test , Written Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
IEMJEE 2018 Institute of Engineering & Management Joint Entrance Exam,Online Test,,,,
GLAET 2018 GLA University Entrance Test,Online Test,,,,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
JUET 2018 Jammu University Entrance Test,Written Test,,,,
CUSAT CAT 2018 Cochin University of Science and Technology Common Admission test,Online Test,,,,
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
Kerala MCA 2017 Kerala MCA,Written Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
NIMCET 2017 National Level Entrance Test for Admission to Master of Computer Applications,Written Test,,,,
GSAT 2018 GITAM Science Admission Test,Written Test,,,,
Dibrugarh University Entrance Exam 2017 Dibrugarh University Entrance Exam,Written Test,,,,
RTU CAM 2018 Rajasthan Technical University Centralized Admission for M.Tech/M.Arch.,Online Test,,,,
LEET 2018 Haryana Lateral Entry Entrance Test,Online Test,26 Apr 17 - 24 May 17,30 May 17 - 02 Jun 17,07 Jun 17,https://exams.collegedunia.com/leet/application-process


PHARMACY
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
UBTER JEEP 2018 Uttarakhand Board Of Technical Education-Joint Entrance Exam, Polytechnic,Written Test,10 Jan 18 - 26 Mar 18,06 May 18,27 May 18,
BITSAT 2018 Birla Institute of Technology and Science Admission Test,Online Test,14 Jan 18 - 03 Mar 18,20 May 18,12 Jun 18,
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
MHT CET 2018 Maharashtra Health Sciences and Technical Common Entrance Test,Written Test,06 Mar 18 - 30 Mar 18,13 May 18,08 Jun 18,https://exams.collegedunia.com/mht-cet/application-process
TS EAMCET 2018 Telangana State Engineering, Agriculture & Medical Common Entrance Test,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28 May 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
TS PGECET 2017 Telangana State Post Graduate Engineering Common Entrance Test,Online Test,20 Mar 18 - 01 May 18,27 May 18,09 Jun 18,
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
GCET 2018 Goa Common Entrance Test,Written Test,19 Apr 18 - 10 Mar 18,13 May 18,30 May 18,
NIPER JEE 2018 National Institute of Pharmaceutical Education and Research Joint Entrance Exam,Online Test,27 Apr 18 - 10 May 18,10 Jun 18,,
JEE Advanced 2018 Joint Entrance Examination (Advanced),Written Test,28 Apr 18 - 02 May 18,20 May 18,11 Jun 18 - 04 Jun 18,https://exams.collegedunia.com/jee-advanced/application-process
AU AIMEE Pharmacy 2017 Annamalai University All India Medical Entrance Exam Pharmacy,Written Test,02 May 18 - 02 Jun 18,10 Jun 18,05 Jul 18,https://exams.collegedunia.com/au-aimee-pharmacy/application-process
MH CET 2018 Maharashtra Common Entrance Test,Online Test,10 May 18 - 23 May 18,18 Jun 18,,
KLEU AIET 2018 KLE University All India Entrance Test,Written Test,10 May 18 - 07 Jun 18,16 Jun 18,27 Jun 18,
AP PGECET 2017 Andhra Pradesh Post Graduate Engineering Common Entrance Test,Online Test,20 May 18 - 03 Mar 18,27 May 18,15 Jun 18,https://exams.collegedunia.com/ap-pgecet/application-process
PU CET 2018 Punjab University Combined Entrance Test,Online Test,25 May 18 - 04 Jul 17,03 Jun 18,16 Jun 18,
WBUT PGET 2018 West Bengal University of Technology Post Graduate Entrance Test,Written Test,15 Jun 18 - 29 Jun 18,20 Jul 18,,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
VEE 2018 Vels Entrance Examination 2018,Written Test,03 May 18,,,
CEE AMPAI 2018 Common Entrance Examination of Association of Minority Professional Academic Institution,Written Test,30 Jul 18,07 Aug 18,,
CG PPHT 2018 Chhattisgarh Pre Pharmacy Test,Written Test,,,,
GITAM GAT PGP 2017 GITAM Admission Test Post Graduate Pharmacy,Online Test,25 Nov 17 - 09 Apr 18,16 Apr 18 - 30 Apr 18,05 May 18,
UKSEE 2018 Uttarakhand State Entrance Exam,Online Test , Written Test,,,,
SAAT 2018 Siksha ‘O’ Anusandhan University Admission Test,Online Test,,,,
RPET Pharmacy 2017 Rajasthan Pre-Engineering Test Pharmacy,Written Test,,,,
GPAT 2018 Graduate Pharmacy Aptitude Test,Online Test,20 Oct 17 - 15 Dec 17,20 Jan 18,08 Feb 18,https://exams.collegedunia.com/gpat/application-process
AP ECET 2018 Andhra Pradesh Engineering Common Entrance Test,Online Test,,,,
BITS HD 2018 BITS HD Admission Test,Written Test,,,,
PUCAT 2018 Purvanchal University Combined Admission Test,Written Test,,,,
GITAM GAT UGTP 2018 GITAM GAT UGTP,Online Test,,,,
CENTAC 2018 Central Admission Committee,Test,,,,
ITM NEST 2018 ITM National Entrance and Scholarship Test 2018,Online Test , Written Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,
WBJEE 2018 West Bengal Joint Entrance Examination,Online Test,19 Dec 17 - 10 Apr 18,22 Apr 18,05 Jun 18,https://exams.collegedunia.com/wbjee/admit-card
GUJCET 2018 Gujarat Common Entrance Test,Written Test,29 May 17,29 May 18,,
HCEE 2017 Haryana Centralized Entrance Exam,Online Test,22 Jun 17 - 25 Jun 17,23 Jun 17,,


LAW
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
CLAT 2018 Common Law Admission Test,Online Test,01 Jan 18 - 31 Mar 18,14 May 18,29 May 18 - 16 May 18,https://exams.collegedunia.com/clat/application-process
AILET 2018 All India Law Entrance Test,Written Test,03 Jan 18 - 15 Apr 18,06 May 18,23 May 18,https://exams.collegedunia.com/ailet/application-process
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
AP PGLCET 2018 Andhra Pradesh Post Graduate Law Common Entrance Test 2018,Online Test,18 Feb 18 - 14 Apr 18,19 Apr 18,09 May 18,
AP LAWCET 2018 Andhra Pradesh Common Law Entrance Test,Written Test,25 Feb 18 - 20 Mar 18,15 Apr 18,,
PU LLB 2018 Panjab University Law Entrance Exam,Online Test,06 Mar 18 - 11 Jun 18,25 Jun 18,04 Jul 18,
CUCET 2018 Central Universities Common Entrance Test,Written Test,17 Mar 18 - 20 Apr 18,20 May 18,19 May 17 - 13 Jun 18,https://exams.collegedunia.com/cucet/application-process
BVP CET 2018 Bharati Vidyapeeth Common Entrance Test,Written Test,18 Mar 18 - 21 May 18,25 Mar 18 - 09 Jun 18,09 Apr 18,https://exams.collegedunia.com/bvp-cet/application-process
MH CET LAW 2018 MAHARASHTRA COMMON ENTRANCE TEST LAW,Online Test,19 Mar 18 - 24 Apr 18,20 May 18,30 May 18,
Allahabad University LAT 2018 Allahabad University Law Admission Test,Written Test,05 Apr 18 - 05 May 18,07 Jul 18,,
RULET 2018 Rajasthan University Law Entrance Test,Written Test,06 Apr 18 - 14 May 18,20 May 18,11 Jun 18,
LFAT 2018 Law Faculty Entrance Test,Written Test,16 Apr 18 - 08 May 18,24 May 18,20 Jun 18,
AMU BA LLB 2018 Aligarh Muslim University Law Entrance Examination,Written Test,20 Apr 18 - 15 Jan 18,08 May 18,12 Jul 18,
BLAT 2017 Banaras Law Entrance Test,Written Test,22 Apr 18 - 05 Feb 18,20 May 18,06 Jun 18,
TS LAWCET 2018 Telangana State Law Common Entrance Test,Written Test,23 Apr 18 - 15 Mar 18,27 May 18,09 Jun 18,
SET 2017 Symbiosis Entrance Test,Online Test,27 Apr 18 - 05 Feb 18,06 May 18,20 May 18,
ILICAT 2018 Indian Law Institute Common Admission Test,Written Test,07 May 18 - 27 May 18,12 Jun 18,,
DU LLB 2018 DU LLB Entrance Exam,Written Test,08 Jun 18 - 05 Apr 18,16 Jun 18 - 17 Jun 18,07 Jul 18,https://exams.collegedunia.com/du-llb/application-process
JUEE 2018 Jagannath University Entrance Exam,Online Test , Written Test,23 Apr 18 - 17 Jun 18,,,
VEE 2018 Vels Entrance Examination 2018,Written Test,03 May 18,,,
AUCET 2018 Andhra University Common Entrance Test,Written Test,08 May 18,18 May 18,,
PESSAT 2018 PES Scholastic Aptitude Test,Online Test , Written Test,26 May 18,29 May 18,,
ACLAT 2018 Alliance University Common Law Admission Test,Written Test,28 May 18,05 Jun 18,,
KIITEE 2017 Kalinga Institute of Industrial Technology Entrance Exam,Online Test,,,,
JMI BA LLB 2018 Jamia Millia Islamia BA LLB,Written Test,,,,
CUSAT CAT 2018 Cochin University of Science and Technology Common Admission test,Online Test,,,,
MGU CAT 2018 Mahatma Gandhi University - Common Admission Test,Written Test,16 Mar 17 - 06 May 17,28 May 17 - 29 May 17,08 Jun 17,
LSAT India 2018 Law School Admission Test-India,Written Test,,,,
LSAT 2017 Law School Admission Test,Written Test,14 Sep 16 - 08 May 17,21 May 17,20 Jun 17,https://exams.collegedunia.com/lsat/admit-card
MUCLET 2017 Mumbai University Common Law Entrance Test,Written Test,,,,
KLEE 2017 Kerala Law Entrance Exam,Written Test,,,,
LPUNEST 2018 LPUNEST,Online Test,07 Oct 16 - 01 Mar 17,10 Apr 17 - 30 Apr 17,07 May 17,
AIBE 2018 All India Bar Examination (XI),Written Test,,,,
ITM NEST 2018 ITM National Entrance and Scholarship Test 2018,Online Test , Written Test,,,,
ULSAT 2018 UPES Legal Studies Aptitude Test,Online Test,,,,
Dibrugarh University Entrance Exam 2017 Dibrugarh University Entrance Exam,Written Test,,,,
TS PGLCET 2018 Telangana State Post Graduate Law Common Entrance Test,Written Test,,,,
CAT 2017 Common Admission Test,Online Test,09 Aug 17 - 20 Sep 17,26 Nov 17,08 Jan 18,https://exams.collegedunia.com/cat/application-process
JUET 2018 Jammu University Entrance Test,Written Test,,,,
IUET 2018 Integral University Entrance Test,Written Test,,,,


GOVERNMENT-EXAMS
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
DMRC 2018 Delhi Metro Rail Corporation Ltd.,Online Test , Written Test,22 Jan 18 - 05 Nov 17,11 Feb 18,26 Feb 18,
NDA 2017 National Defence Academy Exam,Written Test,20 Feb 18 - 05 Jan 18,08 Apr 18,20 May 18,https://exams.collegedunia.com/nda/application-process
SBI PO 2018 State Bank of India Probationary Officer,Online Test,01 Mar 18 - 31 Mar 18,,,https://exams.collegedunia.com/sbi-po/application-process
SBI Clerk 2018 State Bank Of India Clerk,Online Test,03 Apr 18 - 02 May 18,21 May 18,,
UPSC CAPF 2017 Central Armed Police Forces,Written Test,04 Apr 18 - 21 May 18,15 Jul 18,10 Aug 18,https://exams.collegedunia.com/upsc-capf/application-process
RBI Grade B 2018 RBI Grade B,Test,02 May 18 - 23 May 18,08 Jun 18,13 Jun 18,
DSSSB 2018 Delhi Subordinate Services Selection Board,Online Test,26 Aug 18 - 26 Sep 18,11 Nov 18,13 Dec 18,
SSC MTS 2017 Staff Selection Commission Multitasking Exam,Written Test,19 Dec 18 - 05 Oct 18,13 Jan 19 - 12 May 19,15 Apr 19,https://exams.collegedunia.com/ssc-mts/admit-card
RRB ALP 2017 RRB Assistant Loco Pilot,Online Test,12 Apr 18,14 May 18,,
TNTET 2018 Tamil Nadu Teachers Eligibility Test,Test,20 Apr 18,,,
SBI SO 2017 State Bank of India Specialist Officer,Online Test,22 Aug 17 - 05 Sep 17,11 Nov 17,,
UPTET 2017 UP Teacher Eligibility Test,Written Test,26 Aug 17 - 08 Sep 17,15 Oct 17,08 Apr 18,
CDS 2018 Combined Defence Services,Written Test,09 Aug 17 - 08 Sep 17,19 Nov 17,07 Jan 18,
IBPS RRB 2017 Institute of Banking Personnel Selection Rural Regional Bank exam,Online Test,24 Jul 17 - 14 Aug 17,08 Oct 17,,
SSC CGL 2017 Staff Selection Commission Combined Graduate Level,Online Test,16 May 17 - 15 Jun 17,10 Nov 17 - 01 Aug 17,,
IBPS Clerk 2017 Institute of Banking Personnel Selection Clerk,Online Test,12 Sep 17 - 03 Oct 17,,,
IES 2018 Indian Engineering Services,Written Test,27 Sep 17 - 23 Oct 17,07 Jan 18 - 01 Jul 18,20 Aug 17,
SSC JE 2017 Staff Selection Commission Junior Engineers,Online Test , Written Test,20 Dec 17 - 01 Oct 16,05 Jan 18 - 08 Jan 18,05 Jun 18,
CTET 2017 Central Teacher Eligibility Test,Written Test,02 Dec 17 - 27 Dec 17,11 Feb 18,04 Apr 18,http://exams.collegedunia.com/ctet/application-process
SSC CHSL 2017 Staff Selection Commission Combined Higher Secondary Level,Online Test , Written Test,18 Nov 17 - 18 Dec 17,15 Aug 17 - 10 May 18,,
RBI Assistant Recruitment 2017 Reserve Bank of India Assistant Recruitment,Written Test,18 Oct 17 - 18 Oct 17,27 Nov 17 - 20 Dec 17,18 Apr 18,
IAS Exam 2017 Indian Administrative Service Exam,Written Test,22 Feb 17 - 17 Mar 17,18 Jun 17,02 Aug 17,https://exams.collegedunia.com/ias-exam/application-process
IPPB Recruitment 2017 India Post Payments Bank Recruitment,Written Test,07 Oct 16 - 01 Nov 16,,,
UPSC Exam 2017 Union Public Service Commission,Written Test,,,,
IOCL Recruitment 2017 Indian Oil Corporation Limited,Written Test,,,,
BEL Recruitment 2017 Bharat Electronics Limited,Written Test,,,,
RRB Recruitment 2017 Railway Recruitment Board,Online Test,,,,
BTET 2018 Bihar TET,Test,,,,
HPTET 2018 Himachal Pradesh Teacher Eligibility Test,Test,12 Oct 18,,,
IBPS SO 2017 IBPS Specialist Officer,Online Test,,,,
IBPS PO 2017 Institute of Banking Personnel Selection Probationary Officer Exam,Online Test,16 Oct 16 - 23 Oct 16,06 Nov 16,,
SSC Stenographer 2017 Staff Selection Commission Stenographer,Written Test,11 Sep 17 - 14 Sep 17,12 Nov 16,,


MEDICAL
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
IPU CET 2018 Guru Gobind Singh Indraprastha University Common Entrance Test,Written Test,22 Jan 18 - 02 Apr 18,21 Apr 18 - 26 May 18,03 May 18,https://exams.collegedunia.com/ipucet/application-process
NEET 2018 National Eligibility Cum Entrance Test(NEET)/AIPMT,Written Test,22 Jan 18 - 20 Mar 18,10 May 18,08 Jun 18,https://exams.collegedunia.com/neet/application-process
AIIMS MBBS 2018 AIIMS Medical Entrance Exam,Online Test,24 Jan 18 - 23 Feb 18,27 May 18,12 Jun 18,https://exams.collegedunia.com/aiims-mbbs/application-process
AP EAMCET 2018 Andhra Pradesh Engineering, Agriculture and Medical Common Entrance Test,Online Test,05 Feb 18 - 10 Apr 18,28 Apr 18,24 May 18,https://exams.collegedunia.com/ap-eamcet/application-process
UPSEE 2018 Uttar Pradesh State Entrance Exam,Online Test , Written Test,21 Feb 18 - 10 Apr 18,22 Apr 18,12 May 18,
JIPMER PG 2017 Jawaharlal Institute of Postgraduate Medical Education and Research Post Graduate,Online Test,28 Feb 18 - 24 Apr 18,13 May 18,,
TS EAMCET 2018 Telangana State Engineering, Agriculture & Medical Common Entrance Test,Written Test,15 Mar 18 - 20 Apr 18,12 May 18 - 13 May 18,28 May 18,
PGIMER 2018 Post Graduate Institute of Medical Education & Research 2018,Written Test,17 Mar 18 - 13 May 18,14 May 18,16 May 18,
JCECE 2018 Jharkhand Combined Entrance Competitive Examination,Written Test,03 Apr 18 - 30 Apr 18,14 May 18,29 May 18,https://exams.collegedunia.com/jcece/application-process
OJEE 2017 Odisha Joint Entrance Examination,Online Test,16 Apr 18 - 03 Feb 18,13 May 18,07 Jun 18,https://exams.collegedunia.com/ojee/application-process
GCET 2018 Goa Common Entrance Test,Written Test,19 Apr 18 - 10 Mar 18,13 May 18,30 May 18,
AIIMS PG 2018 All India Institute Of Medical Sciences - Post Graduate,Written Test,20 Apr 18 - 02 Mar 18,06 May 18,15 May 18,https://exams.collegedunia.com/aiims-pg/application-process
NIPER JEE 2018 National Institute of Pharmaceutical Education and Research Joint Entrance Exam,Online Test,27 Apr 18 - 10 May 18,10 Jun 18,,
KLEU AIET 2018 KLE University All India Entrance Test,Written Test,10 May 18 - 07 Jun 18,16 Jun 18,27 Jun 18,
PU CET 2018 Punjab University Combined Entrance Test,Online Test,25 May 18 - 04 Jul 17,03 Jun 18,16 Jun 18,
DSAT 2018 Dayanand Sagar Admission Test 2018,Written Test,30 Apr 18,15 May 18,,
JIPMER 2018 Jawaharlal Institute of Post-graduate Medical Education and Research,Online Test,03 Jun 18,,,
CETPPMC 2017 Common Entrance Test for Pondicherry Private Medical/Dental Colleges,Written Test,25 Apr 17 - 22 May 17,27 May 17,02 Jun 17,
IIITH PGEE 2017 International Institute of Information Technology, Hyderabad Post Graduate Entrance Examination,Written Test,22 Apr 17 - 02 Feb 17,30 Apr 17,19 May 17,https://exams.collegedunia.com/iiith-pgee/admit-card
Karnataka PGCET 2017 Karnataka Post Graduate Common Entrance Test,Online Test,24 Jun 17 - 02 Feb 17,08 Jul 17,22 Jul 17 - 09 Jul 17,https://exams.collegedunia.com/karnataka-pgcet/application-process
NEET PG 2018 National Eligibility Cum Entrance Examination Post Graduate,Online Test,16 Sep 17 - 31 Oct 17,07 Jan 18,31 Jan 18,
DNB CET 2017 Diplomat of National Board Centralized Entrance Test,Online Test,30 Sep 17 - 15 Nov 17,26 Nov 17,10 Jan 18,https://exams.collegedunia.com/dnb-cet/admit-card
CMC VELLORE 2017 CMC Vellore MBBS Entrance Exam,Written Test,16 Apr 17 - 12 Feb 17,20 May 17,10 Jul 17,
AIPGMEE 2017 All India Post Graduate Medical Entrance Examination,Online Test,16 Sep 16 - 22 Oct 16,05 Dec 16 - 13 Dec 16,10 Feb 17,
AIIMS MSc 2018 AIIMS M.Sc. Entrance Examination,Online Test,,,,
AIAPGET 2017 ALL INDIA AYUSH POST GRADUATE ENTRANCE TEST,Online Test,,,,
AIPMT 2016 All India Pre Medical Test,Written Test,15 Dec 15 - 13 Jan 16,01 May 16,19 May 16 - 05 Jun 16,https://exams.collegedunia.com/aipmt/application-process
GUJCET 2018 Gujarat Common Entrance Test,Written Test,29 May 17,29 May 18,,


ARCHITECTURE
Name of Exam, Ways to Attempt,Application Coming Up,Examination Date,Result Announce Date,Some Useful Links
KEAM 2018 Kerala Engineering Agricultural Medical Entrance Examination,Written Test,04 Jan 18 - 28 Jan 18,23 Apr 18 - 24 Apr 18,26 May 18,
KCET 2018 Karnataka Common Entrance Test,Written Test,09 Jan 18 - 04 Mar 18,05 May 18 - 06 May 18,25 May 18,https://exams.collegedunia.com/kcet/application-process
BSAUEEE 2018 B.S. Abdur Rahman University Engineering Entrance Exam,Online Test,27 Jan 18 - 15 Apr 18,29 Apr 18 - 29 Apr 18,20 May 18,
